Varenavn,Årsforbrug,Pris,Ordreomkostning,Rentesats,Kategori,Leverandør,Lagerlokation,Varenummer,Enhed,Minimumslagerbeholdning,Leveringstid (dage),Status
Vare-0084,3543,12804,292,5.6,Kontorartikler,ASUS Denmark,Hylde A1-74,SKU-0084,Kasse,531,5,Aktiv
Vare-0085,3583,4694,149,6,Kabler,OfficeSupply A/S,IT-Lager Zone 25,SKU-0085,Rulle,537,12,Aktiv
Vare-0086,223,7908,257,5.4,Kontorartikler,Dell Danmark A/S,Hylde A1-69,SKU-0086,Stk,33,11,Aktiv
Vare-0087,4510,11555,125,5.6,Belysning,Dell Danmark A/S,Warehouse-61,SKU-0087,Pakke,676,12,Aktiv
Vare-0088,754,9586,232,4.2,Belysning,ErgoShop ApS,Hylde B1-2,SKU-0088,Pakke,113,11,Aktiv
Vare-0089,3317,1939,294,4.3,Kontorartikler,OfficeSupply A/S,Tilbehør Zone 37,SKU-0089,Sæt,498,3,Aktiv
Vare-0090,855,496,495,3.9,Møbel,OfficeSupply A/S,Hylde B2-74,SKU-0090,Rulle,128,9,Fase Ud
Vare-0091,4143,6083,428,5.1,IT Hardware,ASUS Denmark,Hylde A1-13,SKU-0091,Pakke,621,13,Aktiv
Vare-0092,1536,1829,483,5.8,Kabler,Apple Denmark,Warehouse-40,SKU-0092,Rulle,230,8,Fase Ud
Vare-0093,1831,2952,89,4.1,Møbel,Samsung Electronics,Warehouse-32,SKU-0093,Sæt,275,13,Aktiv
Vare-0094,913,9031,248,4,Kabler,ErgoShop ApS,Hylde B2-87,SKU-0094,Pakke,137,11,Aktiv
Vare-0095,3748,14484,401,3.9,IT Hardware,Dell Danmark A/S,Tilbehør Zone 73,SKU-0095,Pakke,562,3,Aktiv
Vare-0096,4957,4240,152,5.9,Belysning,ASUS Denmark,Lager Zone 38,SKU-0096,Stk,744,1,Aktiv
Vare-0097,4269,14185,192,4.1,Electronics,ErgoShop ApS,Lager Zone 36,SKU-0097,Stk,640,4,Aktiv
Vare-0098,4740,10137,283,3.6,Ergonomi,Apple Denmark,Hylde A2-78,SKU-0098,Pakke,711,2,Fase Ud
Vare-0099,2204,6239,284,4.9,Belysning,CableWorld ApS,Lager Zone 31,SKU-0099,Rulle,331,11,Aktiv
Vare-0100,1793,13919,482,5.8,Tilbehør,ErgoShop ApS,Hylde A2-25,SKU-0100,Stk,269,11,Aktiv
Vare-0101,1389,9912,168,4.9,Electronics,Lenovo Denmark,Lager Zone 84,SKU-0101,Rulle,208,4,Aktiv
Vare-0102,4775,917,252,4.4,Tilbehør,ASUS Denmark,Hylde A2-73,SKU-0102,Kasse,716,1,Aktiv
Vare-0103,1728,8091,203,5.8,Belysning,CableWorld ApS,Tilbehør Zone 49,SKU-0103,Stk,259,9,Aktiv
Vare-0104,2136,11490,412,5.2,Warehouse,OfficeSupply A/S,Tilbehør Zone 36,SKU-0104,Æske,320,4,Aktiv
Vare-0105,4748,13693,84,5.5,Tilbehør,CableWorld ApS,Warehouse-78,SKU-0105,Rulle,712,12,Aktiv
Vare-0106,3671,14520,346,5.7,Tilbehør,Samsung Electronics,Hylde B1-40,SKU-0106,Æske,551,6,Aktiv
Vare-0107,4333,2193,418,4.1,IT Hardware,OfficeSupply A/S,Hylde A2-40,SKU-0107,Sæt,650,9,Fase Ud
Vare-0108,538,14905,86,5.3,Ergonomi,Lenovo Denmark,Lager Zone 43,SKU-0108,Kasse,81,11,Aktiv
Vare-0109,4267,3967,122,6,Kabler,HP Inc Danmark,Hylde B1-85,SKU-0109,Kasse,640,8,Aktiv
Vare-0110,3723,14224,216,4,Warehouse,CableWorld ApS,Tilbehør Zone 8,SKU-0110,Æske,558,4,Aktiv
Vare-0111,773,12507,323,5.2,Kontorartikler,Logitech Nordic,Tilbehør Zone 4,SKU-0111,Kasse,116,8,Aktiv
Vare-0112,3459,5472,271,4.6,Warehouse,OfficeSupply A/S,Hylde A2-56,SKU-0112,Rulle,519,9,Fase Ud
Vare-0113,2081,5531,240,3.6,Electronics,Samsung Electronics,Warehouse-98,SKU-0113,Sæt,312,1,Aktiv
Vare-0114,1417,1545,199,5.3,Warehouse,Lenovo Denmark,Hylde A2-3,SKU-0114,Sæt,213,11,Aktiv
Vare-0115,4190,8383,109,5.1,Kabler,ErgoShop ApS,Hylde A1-54,SKU-0115,Pakke,628,5,Aktiv
Vare-0116,3641,8243,137,5.4,Tools,ErgoShop ApS,Tilbehør Zone 20,SKU-0116,Sæt,546,8,Aktiv
Vare-0117,4694,4233,252,3.8,Belysning,ASUS Denmark,Lager Zone 79,SKU-0117,Rulle,704,5,Aktiv
Vare-0118,2613,10733,281,6.1,Warehouse,Samsung Electronics,Hylde A2-22,SKU-0118,Æske,392,13,Fase Ud
Vare-0119,1748,3766,340,5.1,Kabler,Samsung Electronics,Lager Zone 20,SKU-0119,Kasse,262,5,Aktiv
Vare-0120,3507,9000,127,4.1,Kontorartikler,Lenovo Denmark,Hylde B1-23,SKU-0120,Rulle,526,2,Aktiv
Vare-0121,2111,595,237,5.5,Belysning,HP Inc Danmark,Hylde A1-91,SKU-0121,Rulle,317,12,Fase Ud
Vare-0122,2393,11853,247,6.1,Electronics,Apple Denmark,Hylde A2-64,SKU-0122,Sæt,359,1,Aktiv
Vare-0123,259,691,240,5.2,Tools,Lenovo Denmark,IT-Lager Zone 93,SKU-0123,Pakke,39,13,Fase Ud
Vare-0124,1247,9885,480,4.6,Ergonomi,ASUS Denmark,Tilbehør Zone 65,SKU-0124,Æske,187,1,Aktiv
Vare-0125,3120,9757,358,5.6,Møbel,CableWorld ApS,Tilbehør Zone 3,SKU-0125,Stk,468,4,Fase Ud
Vare-0126,2844,11149,226,5.8,Warehouse,HP Inc Danmark,Hylde B1-97,SKU-0126,Pakke,427,4,Aktiv
Vare-0127,4540,9795,122,5.7,Electronics,Logitech Nordic,Tilbehør Zone 41,SKU-0127,Rulle,681,11,Aktiv
Vare-0128,2363,12649,180,5.6,Tools,OfficeSupply A/S,Hylde A1-93,SKU-0128,Rulle,354,5,Fase Ud
Vare-0129,4764,12480,412,4.5,Warehouse,ASUS Denmark,Lager Zone 70,SKU-0129,Æske,715,10,Aktiv
Vare-0130,2129,12802,425,5.7,Tools,Samsung Electronics,Lager Zone 9,SKU-0130,Rulle,319,1,Aktiv
Vare-0131,3298,9479,324,5.6,Kontorartikler,ErgoShop ApS,Tilbehør Zone 51,SKU-0131,Kasse,495,1,Aktiv
Vare-0132,1113,8812,360,5.7,Ergonomi,OfficeSupply A/S,Hylde B2-4,SKU-0132,Pakke,167,1,Aktiv
Vare-0133,3387,8505,274,4.8,Kabler,Samsung Electronics,Lager Zone 65,SKU-0133,Æske,508,13,Fase Ud
Vare-0134,2621,1411,327,3.5,Ergonomi,Samsung Electronics,Hylde B1-59,SKU-0134,Pakke,393,5,Aktiv
Vare-0135,553,11814,330,3.5,Tilbehør,Apple Denmark,Hylde B2-5,SKU-0135,Pakke,83,6,Aktiv
Vare-0136,1594,2822,229,4.6,Warehouse,OfficeSupply A/S,IT-Lager Zone 49,SKU-0136,Sæt,239,5,Fase Ud
Vare-0137,344,10258,456,5.7,Kontorartikler,ErgoShop ApS,Hylde B2-76,SKU-0137,Sæt,52,6,Fase Ud
Vare-0138,4864,4002,93,4.1,Kontorartikler,ErgoShop ApS,Hylde B1-82,SKU-0138,Æske,730,13,Aktiv
Vare-0139,4252,14353,229,3.6,Tools,ErgoShop ApS,Hylde B1-48,SKU-0139,Sæt,638,7,Aktiv
Vare-0140,835,12772,487,4.6,Kabler,OfficeSupply A/S,IT-Lager Zone 24,SKU-0140,Sæt,125,8,Aktiv
Vare-0141,1413,5351,391,5,Ergonomi,Logitech Nordic,IT-Lager Zone 83,SKU-0141,Æske,212,3,Fase Ud
Vare-0142,3094,7098,290,4.6,Warehouse,Lenovo Denmark,Hylde A2-98,SKU-0142,Sæt,464,11,Aktiv
Vare-0143,2440,9853,279,5.2,Tilbehør,CableWorld ApS,IT-Lager Zone 53,SKU-0143,Pakke,366,7,Aktiv
Vare-0144,4496,7109,263,5,Electronics,CableWorld ApS,Hylde B2-26,SKU-0144,Sæt,674,11,Aktiv
Vare-0145,2361,5335,353,5.5,Warehouse,CableWorld ApS,Hylde B1-25,SKU-0145,Stk,354,9,Aktiv
Vare-0146,3779,5114,157,5.6,IT Hardware,Samsung Electronics,IT-Lager Zone 26,SKU-0146,Sæt,567,6,Aktiv
Vare-0147,3944,5355,220,4.1,Kabler,ErgoShop ApS,Lager Zone 93,SKU-0147,Stk,592,11,Aktiv
Vare-0148,514,11933,139,4,Kontorartikler,HP Inc Danmark,Hylde A1-57,SKU-0148,Sæt,77,5,Aktiv
Vare-0149,2747,13237,326,4.2,Kabler,HP Inc Danmark,Hylde A2-61,SKU-0149,Rulle,412,10,Fase Ud
Vare-0150,4897,10305,131,5.3,Electronics,Samsung Electronics,Hylde A2-41,SKU-0150,Pakke,735,12,Fase Ud
Vare-0151,4413,14063,252,5,Warehouse,HP Inc Danmark,Warehouse-39,SKU-0151,Rulle,662,1,Aktiv
Vare-0152,339,8603,212,4.7,Ergonomi,OfficeSupply A/S,IT-Lager Zone 48,SKU-0152,Æske,51,4,Aktiv
Vare-0153,1471,6312,332,4.6,Electronics,ASUS Denmark,IT-Lager Zone 31,SKU-0153,Kasse,221,9,Fase Ud
Vare-0154,4148,6208,169,6,Ergonomi,Samsung Electronics,Hylde A1-41,SKU-0154,Kasse,622,12,Aktiv
Vare-0155,4518,8195,227,4.5,IT Hardware,HP Inc Danmark,Lager Zone 21,SKU-0155,Stk,678,3,Aktiv
Vare-0156,1468,11820,231,4.5,Kabler,Samsung Electronics,Hylde A1-60,SKU-0156,Rulle,220,12,Aktiv
Vare-0157,2745,4661,497,5.9,Warehouse,Apple Denmark,Hylde B1-24,SKU-0157,Stk,412,10,Aktiv
Vare-0158,437,10382,276,4.5,Electronics,ErgoShop ApS,Hylde A2-47,SKU-0158,Sæt,66,5,Aktiv
Vare-0159,1905,5895,227,4.7,IT Hardware,HP Inc Danmark,Hylde A1-15,SKU-0159,Stk,286,9,Aktiv
Vare-0160,1739,3759,179,4.2,Kontorartikler,Lenovo Denmark,Lager Zone 38,SKU-0160,Rulle,261,10,Aktiv
Vare-0161,4947,3315,225,4.5,Warehouse,Apple Denmark,IT-Lager Zone 15,SKU-0161,Sæt,742,5,Aktiv
Vare-0162,920,12845,262,4.3,Ergonomi,Samsung Electronics,IT-Lager Zone 56,SKU-0162,Sæt,138,8,Aktiv
Vare-0163,4839,10403,204,4.1,Electronics,Dell Danmark A/S,Tilbehør Zone 62,SKU-0163,Rulle,726,11,Aktiv
Vare-0164,1450,12663,183,3.6,Electronics,Apple Denmark,IT-Lager Zone 97,SKU-0164,Rulle,218,8,Aktiv
Vare-0165,1733,8246,265,5.6,Tools,ASUS Denmark,Hylde B1-81,SKU-0165,Æske,260,4,Fase Ud
Vare-0166,4913,7908,244,4.3,Belysning,OfficeSupply A/S,Hylde B1-5,SKU-0166,Pakke,737,4,Aktiv
Vare-0167,2815,10614,207,5.6,Møbel,ASUS Denmark,Hylde B2-77,SKU-0167,Rulle,422,11,Aktiv
Vare-0168,3749,11581,354,4.9,Tools,Apple Denmark,Hylde A2-58,SKU-0168,Rulle,562,1,Aktiv
Vare-0169,3885,8628,159,3.8,Tilbehør,Apple Denmark,Hylde A2-33,SKU-0169,Sæt,583,4,Aktiv
Vare-0170,1409,8659,416,4.5,Electronics,Samsung Electronics,Warehouse-66,SKU-0170,Stk,211,4,Aktiv
Vare-0171,416,9772,142,5.1,Ergonomi,OfficeSupply A/S,Tilbehør Zone 43,SKU-0171,Stk,62,7,Fase Ud
Vare-0172,544,14461,108,5.8,Møbel,Lenovo Denmark,Hylde B1-8,SKU-0172,Æske,82,1,Fase Ud
Vare-0173,4337,6928,109,5.6,Electronics,OfficeSupply A/S,Warehouse-35,SKU-0173,Rulle,651,5,Aktiv
Vare-0174,2235,3806,189,5.7,Belysning,Logitech Nordic,Lager Zone 34,SKU-0174,Æske,335,9,Fase Ud
Vare-0175,4053,1072,281,4.7,Kontorartikler,Apple Denmark,Hylde A1-81,SKU-0175,Æske,608,6,Aktiv
Vare-0176,3771,13615,338,5.8,IT Hardware,Dell Danmark A/S,Hylde A1-46,SKU-0176,Stk,566,4,Aktiv
Vare-0177,3828,7048,278,5.9,Tilbehør,Apple Denmark,Tilbehør Zone 24,SKU-0177,Sæt,574,4,Aktiv
Vare-0178,2983,11185,399,5.8,Warehouse,OfficeSupply A/S,IT-Lager Zone 64,SKU-0178,Pakke,447,8,Aktiv
Vare-0179,2513,7628,415,3.5,Tools,ASUS Denmark,Hylde A1-98,SKU-0179,Pakke,377,4,Aktiv
Vare-0180,4405,5652,383,4.1,Warehouse,Samsung Electronics,Hylde B2-19,SKU-0180,Rulle,661,9,Aktiv
Vare-0181,2104,6319,395,3.5,Kabler,Dell Danmark A/S,Lager Zone 62,SKU-0181,Æske,316,5,Aktiv
Vare-0182,2820,8083,305,3.6,Tilbehør,Logitech Nordic,Hylde A2-88,SKU-0182,Kasse,423,2,Aktiv
Vare-0183,1871,10990,407,5.6,Ergonomi,Apple Denmark,IT-Lager Zone 89,SKU-0183,Kasse,281,5,Aktiv
Vare-0184,3159,3153,466,5.5,Warehouse,Samsung Electronics,Hylde A1-91,SKU-0184,Kasse,474,9,Aktiv
Vare-0185,2733,8507,231,3.8,Tilbehør,ErgoShop ApS,Hylde A1-38,SKU-0185,Sæt,410,4,Aktiv
Vare-0186,1681,12768,299,3.6,Electronics,OfficeSupply A/S,Warehouse-16,SKU-0186,Pakke,252,4,Aktiv
Vare-0187,3197,13250,367,4,Ergonomi,ASUS Denmark,Hylde A1-43,SKU-0187,Rulle,480,5,Aktiv
Vare-0188,2482,10545,340,3.8,Warehouse,Logitech Nordic,Warehouse-55,SKU-0188,Æske,372,3,Fase Ud
Vare-0189,888,7360,276,4.8,Møbel,Logitech Nordic,Hylde A2-96,SKU-0189,Æske,133,8,Aktiv
Vare-0190,2138,10739,419,5.6,Kabler,Dell Danmark A/S,Hylde A2-42,SKU-0190,Rulle,321,13,Aktiv
Vare-0191,2736,8620,140,5.9,Tools,Lenovo Denmark,Hylde A2-87,SKU-0191,Stk,410,9,Aktiv
Vare-0192,4763,12604,153,4.3,Warehouse,HP Inc Danmark,Hylde A2-1,SKU-0192,Stk,714,8,Aktiv
Vare-0193,3616,4743,140,4.5,IT Hardware,ASUS Denmark,Lager Zone 46,SKU-0193,Sæt,542,6,Aktiv
Vare-0194,3352,4267,141,4.1,Tilbehør,Apple Denmark,Tilbehør Zone 93,SKU-0194,Æske,503,3,Aktiv
Vare-0195,4404,14153,279,4.8,Warehouse,Lenovo Denmark,Lager Zone 70,SKU-0195,Pakke,661,3,Aktiv
Vare-0196,1100,6984,88,4.5,IT Hardware,Logitech Nordic,Hylde B1-42,SKU-0196,Pakke,165,3,Aktiv
Vare-0197,2112,9779,292,4.9,Belysning,ASUS Denmark,Hylde B1-75,SKU-0197,Stk,317,12,Aktiv
Vare-0198,3251,590,390,6.1,Kontorartikler,ErgoShop ApS,IT-Lager Zone 90,SKU-0198,Kasse,488,8,Aktiv
Vare-0199,2197,10399,92,5.6,Ergonomi,Samsung Electronics,Hylde B1-66,SKU-0199,Sæt,330,8,Fase Ud
Vare-0200,138,6886,364,3.9,IT Hardware,HP Inc Danmark,Hylde A1-83,SKU-0200,Pakke,21,1,Aktiv
Vare-0201,1869,11056,214,4,Møbel,Apple Denmark,Hylde B2-76,SKU-0201,Æske,280,12,Aktiv
Vare-0202,236,12648,107,3.5,Tools,CableWorld ApS,Lager Zone 83,SKU-0202,Pakke,35,9,Aktiv
Vare-0203,211,12455,457,5.9,Tools,Lenovo Denmark,Hylde B2-78,SKU-0203,Stk,32,2,Aktiv
Vare-0204,1713,13155,378,3.5,Electronics,Samsung Electronics,Hylde A1-39,SKU-0204,Rulle,257,10,Aktiv
Vare-0205,3288,13443,194,5.1,Kontorartikler,Dell Danmark A/S,Lager Zone 65,SKU-0205,Pakke,493,8,Aktiv
Vare-0206,3902,6619,257,6,Møbel,Samsung Electronics,Tilbehør Zone 73,SKU-0206,Stk,585,1,Aktiv
Vare-0207,3943,6722,444,4.3,Ergonomi,CableWorld ApS,Warehouse-9,SKU-0207,Æske,591,6,Aktiv
Vare-0208,3727,4037,163,3.8,Kabler,Samsung Electronics,Tilbehør Zone 80,SKU-0208,Æske,559,1,Aktiv
Vare-0209,3436,8217,207,3.8,IT Hardware,Samsung Electronics,Warehouse-65,SKU-0209,Rulle,515,8,Aktiv
Vare-0210,3238,7402,444,4,Electronics,ASUS Denmark,Hylde B1-37,SKU-0210,Æske,486,5,Aktiv
